Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
6A5D	0	156	0	1	0	-1	-1
4790	0	23	0	1	0	-1	-1
8965	0	108	0	1	0	-1	-1
C91C	0	59	0	1	0	-1	-1
4652	0	228	0	1	0	-1	-1
627C	0	172	0	1	0	-1	-1
D69F	0	11	0	1	0	-1	-1
0B77	0	122	0	1	0	-1	-1
745B	0	206	0	1	0	-1	-1
82CF	0	226	0	1	0	-1	-1
8A0C	0	94	0	1	0	-1	-1
A86A	0	145	0	1	0	-1	-1
C3DD	0	28	0	1	0	-1	-1
FE93	0	70	0	1	0	-1	-1
A5B6	0	205	0	1	0	-1	-1
1ECD	0	193	0	1	0	-1	-1
F3BB	0	236	0	1	0	0	0
C151	0	66	0	1	0	1	0
9965	0	70	0	1	0	2	0
A4D0	0	239	0	1	0	3	0
D28A	0	233	0	1	0	3	0
1DD4	0	152	0	1	0	4	0
1A85	0	34	0	1	0	5	0
0A99	0	214	0	1	0	6	0
742A	0	149	1	0	0	-1	-1
E3A9	0	71	0	1	0	6	0
2435	0	24	0	1	0	7	0
89E2	0	53	1	0	0	-1	-1
E0AA	0	238	0	1	0	8	0
B460	0	184	0	1	0	9	0
028C	0	222	0	1	0	9	0
FA14	0	43	0	1	0	10	0
0898	0	164	0	1	0	11	0
8D5B	0	88	0	1	0	12	0
9816	0	5	0	1	0	13	0
5BB4	0	143	0	1	0	13	0
A476	0	155	1	0	0	-1	-1
40DF	0	197	0	1	0	14	0
5D8E	0	59	0	1	0	15	0
1DF3	0	148	1	0	0	-1	-1
8F2E	0	201	0	1	0	15	0
E8FD	0	23	0	1	0	0	0
CBEB	0	166	0	1	0	1	0
33AB	0	125	0	1	0	2	0
76A8	0	251	0	1	0	3	0
6539	0	54	0	1	0	3	0
2A18	0	242	0	1	0	4	0
61A9	0	128	0	1	0	5	0
4F32	0	256	0	1	0	6	0
8E2F	0	126	0	1	0	7	0
E12B	0	63	0	1	0	7	0
DE04	1	101	0	1	0	8	1
1484	1	43	0	1	0	9	1
D71A	1	243	0	1	0	10	1
CAE7	0	199	0	1	0	11	0
527C	1	188	0	1	0	11	1
E33C	0	127	1	0	0	-1	-1
1CA0	0	144	0	1	0	12	0
5DC7	1	121	1	0	0	-1	-1
C0CB	0	138	0	1	0	13	0
CCBE	0	233	0	1	0	13	0
C8E8	0	228	0	1	0	14	0
0A74	0	64	1	0	0	-1	-1
F005	0	206	0	1	0	15	0
00C9	1	91	0	1	0	0	1
1CA6	0	212	0	0	1	-1	-1
0E9C	0	24	0	1	0	0	0
2A99	0	162	1	0	0	-1	-1
DCD8	1	46	0	1	0	1	1
D63C	0	205	1	0	0	-1	-1
2C49	0	132	0	1	0	1	0
2245	0	252	0	1	0	2	0
13DC	1	1	0	1	0	3	1
0009	0	122	0	0	1	-1	-1
254E	0	27	0	1	0	4	0
9080	0	34	0	1	0	4	0
B146	0	136	0	1	0	5	0
9E19	0	145	0	1	0	6	0
C3EC	1	50	1	0	0	-1	-1
ACBD	0	186	0	1	0	7	0
A45A	0	199	1	0	0	-1	-1
3DAE	0	197	0	1	0	7	0
B750	1	131	0	1	0	8	1
F00E	0	98	1	0	0	-1	-1
A7D3	0	87	0	1	0	9	0
B1B5	1	203	1	0	0	-1	-1
583B	0	92	0	1	0	9	0
D352	1	23	0	1	0	10	1
EA25	0	180	0	1	0	11	0
4060	0	250	1	0	0	-1	-1
22FD	0	92	1	0	0	-1	-1
091B	0	248	0	1	0	11	0
DD4D	0	135	0	1	0	12	0
DA26	0	74	0	1	0	13	0
1E14	0	229	1	0	0	-1	-1
285C	0	46	0	1	0	13	0
38C4	0	242	0	1	0	14	0
AAE7	1	138	0	1	0	15	1
436F	1	135	0	1	0	0	1
791E	1	134	0	1	0	1	1
7CC0	0	66	0	1	0	1	0
